Algorithms,MaxCost,TimeTaken,Parameters
SpaceAndTimeTradeOffs,2554,0.000000,54
DynamicProgramming,2554,0.001000,54
IterativeImprovement,2554,0.000000,54
Greedy,2554,0.000000,54
GeneticAlgorithm,2554,0.209000,54
BruteForce,TIMED OUT,-1.000000,55
DecreaseAndConquer,TIMED OUT,-1.000000,55
DivideAndConquer,TIMED OUT,-1.000000,55
TransformAndConquer,2843,0.000000,55
SpaceAndTimeTradeOffs,2843,0.001000,55
DynamicProgramming,2843,0.002000,55
IterativeImprovement,2843,0.000000,55
Greedy,2843,0.000000,55
GeneticAlgorithm,2843,0.209000,55
BruteForce,TIMED OUT,-1.000000,56
DecreaseAndConquer,TIMED OUT,-1.000000,56
DivideAndConquer,TIMED OUT,-1.000000,56
TransformAndConquer,2627,0.000000,56
SpaceAndTimeTradeOffs,2627,0.000000,56
DynamicProgramming,2627,0.000000,56
IterativeImprovement,2627,0.000000,56
Greedy,2627,0.000000,56
GeneticAlgorithm,2627,0.213000,56
BruteForce,TIMED OUT,-1.000000,57
DecreaseAndConquer,TIMED OUT,-1.000000,57
DivideAndConquer,TIMED OUT,-1.000000,57
TransformAndConquer,2969,0.000000,57
SpaceAndTimeTradeOffs,2969,0.001000,57
DynamicProgramming,2969,0.001000,57
IterativeImprovement,2969,0.000000,57
Greedy,2969,0.000000,57
GeneticAlgorithm,2969,0.218000,57
BruteForce,TIMED OUT,-1.000000,58
DecreaseAndConquer,TIMED OUT,-1.000000,58
DivideAndConquer,TIMED OUT,-1.000000,58
TransformAndConquer,3135,0.000000,58
SpaceAndTimeTradeOffs,3135,0.001000,58
DynamicProgramming,3135,0.001000,58
IterativeImprovement,3135,0.000000,58
Greedy,3135,0.000000,58
GeneticAlgorithm,3135,0.217000,58
BruteForce,TIMED OUT,-1.000000,59
DecreaseAndConquer,TIMED OUT,-1.000000,59
DivideAndConquer,TIMED OUT,-1.000000,59
TransformAndConquer,3194,0.000000,59
SpaceAndTimeTradeOffs,3194,0.000000,59
DynamicProgramming,3194,0.001000,59
IterativeImprovement,3194,0.000000,59
Greedy,3194,0.000000,59
GeneticAlgorithm,3194,0.222000,59
BruteForce,TIMED OUT,-1.000000,60
DecreaseAndConquer,TIMED OUT,-1.000000,60
DivideAndConquer,TIMED OUT,-1.000000,60
TransformAndConquer,3321,0.000000,60
SpaceAndTimeTradeOffs,3321,0.000000,60
DynamicProgramming,3321,0.001000,60
IterativeImprovement,3321,0.000000,60
Greedy,3321,0.001000,60
GeneticAlgorithm,3321,0.224000,60
BruteForce,TIMED OUT,-1.000000,61
DecreaseAndConquer,TIMED OUT,-1.000000,61
DivideAndConquer,TIMED OUT,-1.000000,61
TransformAndConquer,3279,0.000000,61
SpaceAndTimeTradeOffs,3279,0.001000,61
DynamicProgramming,3279,0.001000,61
IterativeImprovement,3279,0.000000,61
Greedy,3279,0.000000,61
GeneticAlgorithm,3279,0.225000,61
BruteForce,TIMED OUT,-1.000000,62
DecreaseAndConquer,TIMED OUT,-1.000000,62
DivideAndConquer,TIMED OUT,-1.000000,62
TransformAndConquer,3974,0.000000,62
SpaceAndTimeTradeOffs,3974,0.002000,62
DynamicProgramming,3974,0.001000,62
IterativeImprovement,3974,0.000000,62
Greedy,3974,0.000000,62
GeneticAlgorithm,3974,0.230000,62
BruteForce,TIMED OUT,-1.000000,63
DecreaseAndConquer,TIMED OUT,-1.000000,63
DivideAndConquer,TIMED OUT,-1.000000,63
TransformAndConquer,3384,0.000000,63
SpaceAndTimeTradeOffs,3384,0.000000,63
DynamicProgramming,3384,0.002000,63
IterativeImprovement,3384,0.000000,63
Greedy,3384,0.000000,63
GeneticAlgorithm,3384,0.231000,63
BruteForce,TIMED OUT,-1.000000,64
DecreaseAndConquer,TIMED OUT,-1.000000,64
DivideAndConquer,TIMED OUT,-1.000000,64
TransformAndConquer,3683,0.000000,64
SpaceAndTimeTradeOffs,3683,0.000000,64
DynamicProgramming,3683,0.001000,64
IterativeImprovement,3683,0.000000,64
Greedy,3683,0.000000,64
GeneticAlgorithm,3683,0.238000,64
BruteForce,TIMED OUT,-1.000000,65
DecreaseAndConquer,TIMED OUT,-1.000000,65
DivideAndConquer,TIMED OUT,-1.000000,65
TransformAndConquer,3398,0.000000,65
SpaceAndTimeTradeOffs,3398,0.000000,65
DynamicProgramming,3398,0.001000,65
IterativeImprovement,3398,0.000000,65
Greedy,3398,0.000000,65
GeneticAlgorithm,3398,0.237000,65
BruteForce,TIMED OUT,-1.000000,66
DecreaseAndConquer,TIMED OUT,-1.000000,66
DivideAndConquer,TIMED OUT,-1.000000,66
TransformAndConquer,4028,0.000000,66
SpaceAndTimeTradeOffs,4028,0.001000,66
DynamicProgramming,4028,0.001000,66
IterativeImprovement,4028,0.000000,66
Greedy,4028,0.000000,66
GeneticAlgorithm,4028,0.242000,66
BruteForce,TIMED OUT,-1.000000,67
DecreaseAndConquer,TIMED OUT,-1.000000,67
DivideAndConquer,TIMED OUT,-1.000000,67
TransformAndConquer,4046,0.001000,67
SpaceAndTimeTradeOffs,4046,0.000000,67
DynamicProgramming,4046,0.001000,67
IterativeImprovement,4046,0.000000,67
Greedy,4046,0.000000,67
GeneticAlgorithm,4046,0.324000,67
BruteForce,TIMED OUT,-1.000000,68
DecreaseAndConquer,TIMED OUT,-1.000000,68
DivideAndConquer,TIMED OUT,-1.000000,68
TransformAndConquer,4417,0.000000,68
SpaceAndTimeTradeOffs,4417,0.001000,68
DynamicProgramming,4417,0.001000,68
IterativeImprovement,4417,0.000000,68
Greedy,4417,0.000000,68
GeneticAlgorithm,4417,0.324000,68
BruteForce,TIMED OUT,-1.000000,69
DecreaseAndConquer,TIMED OUT,-1.000000,69
DivideAndConquer,TIMED OUT,-1.000000,69
TransformAndConquer,4221,0.000000,69
SpaceAndTimeTradeOffs,4220,0.001000,69
DynamicProgramming,4220,0.001000,69
IterativeImprovement,4220,0.000000,69
Greedy,4202,0.000000,69
GeneticAlgorithm,4217,0.333000,69
BruteForce,TIMED OUT,-1.000000,70
DecreaseAndConquer,TIMED OUT,-1.000000,70
DivideAndConquer,TIMED OUT,-1.000000,70
TransformAndConquer,3971,0.000000,70
SpaceAndTimeTradeOffs,3971,0.001000,70
DynamicProgramming,3971,0.001000,70
IterativeImprovement,3971,0.000000,70
Greedy,3966,0.000000,70
GeneticAlgorithm,3971,0.336000,70
BruteForce,TIMED OUT,-1.000000,71
DecreaseAndConquer,TIMED OUT,-1.000000,71
DivideAndConquer,TIMED OUT,-1.000000,71
TransformAndConquer,4881,0.000000,71
SpaceAndTimeTradeOffs,4881,0.000000,71
DynamicProgramming,4881,0.002000,71
IterativeImprovement,4881,0.000000,71
Greedy,4881,0.000000,71
GeneticAlgorithm,4881,0.255000,71
BruteForce,TIMED OUT,-1.000000,72
DecreaseAndConquer,TIMED OUT,-1.000000,72
DivideAndConquer,TIMED OUT,-1.000000,72
TransformAndConquer,4557,0.000000,72
SpaceAndTimeTradeOffs,4554,0.001000,72
DynamicProgramming,4554,0.001000,72
IterativeImprovement,4554,0.000000,72
Greedy,4540,0.000000,72
GeneticAlgorithm,4554,0.257000,72
BruteForce,TIMED OUT,-1.000000,73
DecreaseAndConquer,TIMED OUT,-1.000000,73
DivideAndConquer,TIMED OUT,-1.000000,73
TransformAndConquer,4352,0.000000,73
SpaceAndTimeTradeOffs,4352,0.001000,73
DynamicProgramming,4352,0.002000,73
IterativeImprovement,4352,0.000000,73
Greedy,4352,0.000000,73
GeneticAlgorithm,4352,0.263000,73
BruteForce,TIMED OUT,-1.000000,74
DecreaseAndConquer,TIMED OUT,-1.000000,74
DivideAndConquer,TIMED OUT,-1.000000,74
TransformAndConquer,4739,0.000000,74
SpaceAndTimeTradeOffs,4734,0.001000,74
DynamicProgramming,4734,0.002000,74
IterativeImprovement,4731,0.000000,74
Greedy,4723,0.000000,74
GeneticAlgorithm,4731,0.263000,74
BruteForce,TIMED OUT,-1.000000,75
DecreaseAndConquer,TIMED OUT,-1.000000,75
DivideAndConquer,TIMED OUT,-1.000000,75
TransformAndConquer,4856,0.000000,75
SpaceAndTimeTradeOffs,4844,0.001000,75
