Algorithms,MaxCost,TimeTaken,Parameters
IterativeImprovement,3304,0.000024,59
Greedy,3304,0.000005,59
GeneticAlgorithm,3304,0.242452,59
TransformAndConquer,2538,0.000005,60
SpaceAndTimeTradeOffs,2538,0.000535,60
DynamicProgramming,2538,0.000920,60
IterativeImprovement,2538,0.000024,60
Greedy,2538,0.000004,60
GeneticAlgorithm,2538,0.242449,60
TransformAndConquer,3461,0.000006,61
SpaceAndTimeTradeOffs,3461,0.000561,61
DynamicProgramming,3461,0.000948,61
IterativeImprovement,3461,0.000023,61
Greedy,3461,0.000006,61
GeneticAlgorithm,3461,0.243013,61
TransformAndConquer,3574,0.000007,62
SpaceAndTimeTradeOffs,3574,0.000573,62
DynamicProgramming,3574,0.001010,62
IterativeImprovement,3574,0.000026,62
Greedy,3574,0.000006,62
GeneticAlgorithm,3574,0.246888,62
TransformAndConquer,3611,0.000006,63
SpaceAndTimeTradeOffs,3611,0.000604,63
DynamicProgramming,3611,0.001035,63
IterativeImprovement,3611,0.000029,63
Greedy,3611,0.000007,63
GeneticAlgorithm,3611,0.252776,63
TransformAndConquer,3705,0.000005,64
SpaceAndTimeTradeOffs,3705,0.000619,64
DynamicProgramming,3705,0.001041,64
IterativeImprovement,3705,0.000026,64
Greedy,3705,0.000005,64
GeneticAlgorithm,3705,0.292251,64
TransformAndConquer,4107,0.000005,65
SpaceAndTimeTradeOffs,4107,0.000646,65
DynamicProgramming,4107,0.001101,65
IterativeImprovement,4107,0.000028,65
Greedy,4107,0.000006,65
GeneticAlgorithm,4107,0.299562,65
TransformAndConquer,4040,0.000006,66
SpaceAndTimeTradeOffs,4040,0.000629,66
DynamicProgramming,4040,0.001105,66
IterativeImprovement,4040,0.000029,66
Greedy,4040,0.000005,66
GeneticAlgorithm,4040,0.304825,66
TransformAndConquer,4107,0.000005,67
SpaceAndTimeTradeOffs,4106,0.000664,67
DynamicProgramming,4106,0.001198,67
IterativeImprovement,4105,0.000031,67
Greedy,4101,0.000008,67
GeneticAlgorithm,4096,0.308628,67
TransformAndConquer,3892,0.000006,68
SpaceAndTimeTradeOffs,3892,0.000686,68
DynamicProgramming,3892,0.001170,68
IterativeImprovement,3892,0.000031,68
Greedy,3892,0.000005,68
GeneticAlgorithm,3892,0.306602,68
TransformAndConquer,3857,0.000007,69
SpaceAndTimeTradeOffs,3854,0.000689,69
DynamicProgramming,3854,0.001201,69
IterativeImprovement,3854,0.000046,69
Greedy,3852,0.000006,69
GeneticAlgorithm,3837,0.315429,69
TransformAndConquer,4436,0.000006,70
SpaceAndTimeTradeOffs,4436,0.000727,70
DynamicProgramming,4436,0.001285,70
IterativeImprovement,4436,0.000038,70
Greedy,4436,0.000004,70
GeneticAlgorithm,4436,0.315565,70
TransformAndConquer,4201,0.000006,71
SpaceAndTimeTradeOffs,4201,0.000751,71
DynamicProgramming,4201,0.001303,71
IterativeImprovement,4201,0.000042,71
Greedy,4197,0.000012,71
GeneticAlgorithm,4201,0.320751,71
TransformAndConquer,4374,0.000006,72
SpaceAndTimeTradeOffs,4374,0.000771,72
DynamicProgramming,4374,0.001343,72
IterativeImprovement,4374,0.000039,72
Greedy,4374,0.000011,72
GeneticAlgorithm,4374,0.322074,72
TransformAndConquer,4320,0.000007,73
SpaceAndTimeTradeOffs,4320,0.000800,73
DynamicProgramming,4320,0.001381,73
IterativeImprovement,4320,0.000036,73
Greedy,4318,0.000012,73
GeneticAlgorithm,4314,0.330848,73
TransformAndConquer,4754,0.000006,74
SpaceAndTimeTradeOffs,4754,0.000789,74
DynamicProgramming,4754,0.001386,74
IterativeImprovement,4754,0.000036,74
Greedy,4753,0.000008,74
GeneticAlgorithm,4754,0.333119,74
TransformAndConquer,4803,0.000008,75
SpaceAndTimeTradeOffs,4798,0.000812,75
DynamicProgramming,4798,0.001407,75
IterativeImprovement,4798,0.000044,75
Greedy,4775,0.000013,75
GeneticAlgorithm,4776,0.340350,75
TransformAndConquer,5059,0.000007,76
SpaceAndTimeTradeOffs,5056,0.000824,76
DynamicProgramming,5056,0.001449,76
IterativeImprovement,5056,0.000044,76
Greedy,5056,0.000006,76
GeneticAlgorithm,5045,0.338412,76
TransformAndConquer,5246,0.000006,77
SpaceAndTimeTradeOffs,5246,0.000872,77
DynamicProgramming,5246,0.001548,77
IterativeImprovement,5246,0.000044,77
Greedy,5246,0.000005,77
GeneticAlgorithm,5246,0.339221,77
TransformAndConquer,5108,0.000009,78
SpaceAndTimeTradeOffs,5104,0.000899,78
DynamicProgramming,5104,0.001581,78
IterativeImprovement,5104,0.000060,78
Greedy,5075,0.000014,78
GeneticAlgorithm,4999,0.354352,78
TransformAndConquer,4923,0.000007,79
SpaceAndTimeTradeOffs,4921,0.000892,79
DynamicProgramming,4921,0.001589,79
IterativeImprovement,4919,0.000055,79
Greedy,4905,0.000006,79
GeneticAlgorithm,4837,0.364693,79
TransformAndConquer,5254,0.000007,80
SpaceAndTimeTradeOffs,5250,0.000921,80
DynamicProgramming,5250,0.001623,80
IterativeImprovement,5246,0.000078,80
Greedy,5189,0.000008,80
GeneticAlgorithm,5176,0.362344,80
TransformAndConquer,5233,0.000007,81
SpaceAndTimeTradeOffs,5231,0.000944,81
DynamicProgramming,5231,0.001700,81
IterativeImprovement,5229,0.000066,81
Greedy,5224,0.000013,81
GeneticAlgorithm,5213,0.413412,81
TransformAndConquer,5212,0.000006,82
SpaceAndTimeTradeOffs,5205,0.000966,82
DynamicProgramming,5205,0.001701,82
IterativeImprovement,5200,0.000059,82
Greedy,5189,0.000014,82
GeneticAlgorithm,5126,0.426137,82
TransformAndConquer,5325,0.000009,83
SpaceAndTimeTradeOffs,5323,0.000984,83
DynamicProgramming,5323,0.001774,83
IterativeImprovement,5322,0.000048,83
Greedy,5322,0.000008,83
GeneticAlgorithm,5318,0.412895,83
TransformAndConquer,6046,0.000009,84
SpaceAndTimeTradeOffs,6045,0.001015,84
DynamicProgramming,6045,0.001893,84
IterativeImprovement,6045,0.000053,84
Greedy,6040,0.000013,84
GeneticAlgorithm,6022,0.412601,84
TransformAndConquer,5376,0.000008,85
SpaceAndTimeTradeOffs,5375,0.001050,85
DynamicProgramming,5375,0.001900,85
IterativeImprovement,5375,0.000047,85
Greedy,5364,0.000009,85
GeneticAlgorithm,5284,0.431659,85
TransformAndConquer,6103,0.000007,86
SpaceAndTimeTradeOffs,6095,0.001084,86
DynamicProgramming,6095,0.001907,86
IterativeImprovement,6090,0.000071,86
Greedy,5978,0.000018,86
GeneticAlgorithm,6014,0.443786,86
TransformAndConquer,6425,0.000007,87
SpaceAndTimeTradeOffs,6424,0.001098,87
DynamicProgramming,6424,0.001947,87
IterativeImprovement,6424,0.000070,87
Greedy,6399,0.000013,87
GeneticAlgorithm,6375,0.434397,87
TransformAndConquer,5833,0.000008,88
SpaceAndTimeTradeOffs,5831,0.001081,88
DynamicProgramming,5831,0.001934,88
IterativeImprovement,5828,0.000059,88
Greedy,5797,0.000014,88
GeneticAlgorithm,5732,0.457398,88
TransformAndConquer,5873,0.000008,89
SpaceAndTimeTradeOffs,5868,0.001125,89
DynamicProgramming,5868,0.002053,89
IterativeImprovement,5860,0.000074,89
Greedy,5863,0.000014,89
GeneticAlgorithm,5757,0.458092,89
TransformAndConquer,5905,0.000008,90
SpaceAndTimeTradeOffs,5905,0.001165,90
DynamicProgramming,5905,0.002127,90
IterativeImprovement,5905,0.000058,90
